Pre-la-Joux: 6.7881017; 46.2332683!
Montmagny: 2.343561; 48.9728571!
Noeux-les-Mines: 2.6621899; 50.4754!
Saint-Andre-lez-Lille: 3.04468; 50.6608!
Blanquefort: -0.609082; 44.9238!
Le Mee-sur-Seine: 2.6382182; 48.5403535!
Dax: -1.0533076; 43.7080596!
Echirolles: 5.71927; 45.1437!
Villepinte: 2.5347541; 48.9636566!
Hendaye: -1.7616499; 43.3641518!
Sable-sur-Sarthe: -0.3352048; 47.8400712!
Tournefeuille: 1.3464462; 43.5834786!
Le Chesnay: 2.1319603; 48.8278506!
Pierrelatte: 4.6976609; 44.3778474!
Armentieres: 2.88251; 50.6911!
Coudekerque-Branche: 2.3971139; 51.0175575!
Chatou: 2.15122; 48.8987!
Joue-les-Tours: 0.656224; 47.336!
Gentilly: 2.34371; 48.8127!
Creil: 2.4737043; 49.2635045!
Yutz: 6.1886959; 49.3592369!
Vitry-le-Francois: 4.5851622; 48.7262225!
Luneville: 6.5013779; 48.5894638!
Millau: 3.0777594; 44.1006693!
Torcy: 2.65265; 48.8515!
Bethune: 2.64781; 50.5199!
Palaiseau: 2.2468567; 48.7170283!
Antony: 2.2959423; 48.753554!
Neuilly-Plaisance: 2.5089943; 48.8611165!
Chalette-sur-Loing: 2.73636; 48.0165!
Neuilly-sur-Marne: 2.53921; 48.8642!
Equeurdreville-Hainneville: -1.667904; 49.6507053!
Croix: 3.1521074; 50.6783122!
Mazamet: 2.3764363; 43.4902317!
Viroflay: 2.17056; 48.8013!
Aubervilliers: 2.3821895; 48.9146078!
Thionville: 6.1529769; 49.3591614!
Valentigney: 6.8264717; 47.4628054!
Roquebrune-Cap-Martin: 7.4565697; 43.7641047!
Frontignan: 3.7530636; 43.4487615!
Lanester: -3.3444489; 47.7639726!
Vieux-Conde: 3.56503; 50.4714!
Marcq-en-Baroeul: 3.1043032; 50.6767018!
Sarrebourg: 7.0533301; 48.7356751!
Bourg-en-Bresse: 5.2258647; 46.2055235!
Saint-Egreve: 5.6811465; 45.2329547!
Andresy: 2.0529587; 48.9788963!
Bourgoin-Jallieu: 5.2828123; 45.5872259!
Athis-Mons: 2.3890941; 48.7079028!
Franconville: 2.2247099; 48.9890001!
Garches: 2.1853699; 48.8437486!
Stains: 2.3825154; 48.9565669!
Wittelsheim: 7.24682; 47.8!
Saint-Cyr-sur-Loire: 0.6658199; 47.4052448!
La Valette-du-Var: 5.9834654; 43.1378245!
Noisiel: 2.61732; 48.8473!
Clichy: 2.30551; 48.9026!
Six-Fours-les-Plages: 5.8393953; 43.0935105!
Annecy-le-Vieux: 6.1421557; 45.9192627!
Fos-sur-Mer: 4.945595; 43.4380714!
Maromme: 1.0308208; 49.476737!
Cognac: -0.3251948; 45.6932909!
La Garde: 6.0128532; 43.1249185!
Cergy: 2.0388736; 49.0527528!
Roubaix: 3.1741734; 50.6915893!
Octeville: -1.6505096; 49.6207352!
Saint-Pierre-des-Corps: 0.718669; 47.3904414!
Ploemeur: -3.4270534; 47.7354591!
Le Blanc-Mesnil: 2.45686; 48.9403!
Dinan: -2.047687; 48.4539775!
Rillieux-la-Pape: 4.8994366; 45.823514!
Maubeuge: 3.9743784; 50.2785567!
Abbeville: 1.8343303; 50.1059372!
Beaucaire: 4.6392648; 43.8085436!
Saint-Malo: -2.015418; 48.6454528!
Chelles: 2.5942129; 48.8797422!
La Ciotat: 5.6232056; 43.1947945!
Canteleu: 1.0352069; 49.4507987!
Hyeres: 6.1301614; 43.1202573!
Tarbes: 0.0685929; 43.2349001!
Cahors: 1.4364999; 44.4495!
Septemes-les-Vallons: 5.3663965; 43.3989529!
Acheres: 2.0701647; 48.9602658!
Verrieres-le-Buisson: 2.2668991; 48.7463063!
Le Plessis-Robinson: 2.2619632; 48.7811049!
Velizy-Villacoublay: 2.1906082; 48.7826191!
Etaples: 1.638851; 50.5138973!
Villefontaine: 5.1580574; 45.614003!
Conflans-Sainte-Honorine: 2.1017799; 49.0003001!
Lognes: 2.63387; 48.8323!
Sorgues: 4.8725016; 44.0066403!
Manosque: 5.7836332; 43.8333864!
Bailleul: 2.7349286; 50.7396668!
Mennecy: 2.4379002; 48.5586201!
Montbrison: 4.0653067; 45.6070698!
Courcouronnes: 2.41381; 48.621!
Chateauroux: 1.6957099; 46.8047!
Saint-Leu-la-Foret: 2.2480799; 49.0212001!
Saint-Etienne-du-Rouvray: 1.09163; 49.3831!
Roanne: 4.0738682; 46.0363902!
Savigny-sur-Orge: 2.3482788; 48.6842593!
Moulins: 3.333179; 46.566142!
Avrille: -0.5956539; 47.5045657!
Le Vesinet: 2.12974; 48.8944!
Maisons-Alfort: 2.4305233; 48.8010363!
Grande-Synthe: 2.29351; 51.0182!
Orsay: 2.1874811; 48.6991805!
Le Portel: 1.5765268; 50.7079679!
Bry-sur-Marne: 2.5216259; 48.8394047!
Carquefou: -1.4921233; 47.2971979!
Quimper: -4.1024782; 47.9960325!
Enghien-les-Bains: 2.3068482; 48.9699732!
Aulnay-sous-Bois: 2.5058071; 48.9396485!
Nanterre: 2.2071267; 48.8924273!
Vichy: 3.4203712; 46.1239268!
Guyancourt: 2.07549; 48.7729!
Albert: 2.6481281; 50.0050961!
Freyming-Merlebach: 6.8031117; 49.1479451!
Mont-Saint-Aignan: 1.0813; 49.4679!
Epinay-sur-Seine: 2.3145039; 48.9525181!
Verdun: 5.3867277; 49.1589278!
Les Ulis: 2.1690093; 48.6805587!
Ozoir-la-Ferriere: 2.676; 48.7638!
Comines: 3.0147; 50.749!
Gueret: 1.8713349; 46.1686865!
Berck: 1.570879; 50.4050674!
Longwy: 5.7681606; 49.5169254!
Brie-Comte-Robert: 2.6166737; 48.6904522!
Rombas: 6.0949742; 49.2502303!
Villiers-le-Bel: 2.3983967; 49.0075433!
Pontault-Combault: 2.61431; 48.7884!
Carvin: 2.9577519; 50.4934145!
Chevilly-Larue: 2.3624818; 48.768192!
Cugnaux: 1.3457537; 43.5369936!
Talant: 5.0047641; 47.3359617!
Ambares-et-Lagrave: -0.4980333; 44.9445006!
Les Lilas: 2.415796; 48.8795658!
Morangis: 2.3367599; 48.7022956!
Draveil: 2.4212; 48.6787!
Kingersheim: 7.3386856; 47.7923002!
Faches-Thumesnil: 3.07133; 50.5936!
Deuil-la-Barre: 2.32738; 48.9721!
Sanary-sur-Mer: 5.8022906; 43.1180387!
Jarville-la-Malgrange: 6.2057744; 48.6680055!
Castres: 2.2417954; 43.6036776!
Port-de-Bouc: 4.9806998; 43.403098!
Auxerre: 3.58452; 47.7954001!
Tremblay-en-France: 2.5589558; 48.9802035!
Ales: 4.0852818; 44.1253665!
Limeil-Brevannes: 2.4867977; 48.7464991!
Villemomble: 2.5105095; 48.8847875!
Saintes: -0.6299329; 45.7420801!
Montesson: 2.1502476; 48.9117502!
Hautmont: 3.9200611; 50.2513704!
Les Pavillons-sous-Bois: 2.5034999; 48.9082988!
Villeneuve-le-Roi: 2.4179723; 48.7349054!
Montigny-le-Bretonneux: 2.0249424; 48.7759215!
Seynod: 6.0992785; 45.8880398!
Vaires-sur-Marne: 2.6333854; 48.8707017!
Ostwald: 7.7102193; 48.5425109!
Rognac: 5.2342903; 43.4872341!
Bron: 4.9092352; 45.7337532!
Persan: 2.2675077; 49.1485881!
Argentan: -0.0223695; 48.7428859!
La Rochelle: -1.1520434; 46.1591126!
Bouc-Bel-Air: 5.4126511; 43.4511274!
Lorient: -3.37958; 47.7504!
Decines-Charpieu: 4.9633314; 45.773606!
Vaulx-en-Velin: 4.9206153; 45.7784255!
Arles: 4.6309653; 43.6776223!
Sainte-Foy-les-Lyon: 4.7934767; 45.7362255!
Miramas: 5.0025809; 43.582733!
Rumilly: 5.9447721; 45.8672278!
Bois-Colombes: 2.2674892; 48.9148269!
La Garenne-Colombes: 2.2465748; 48.9069349!
Hem: 3.1839429; 50.6540895!
Fontaine: 5.6759709; 45.193603!
Cran-Gevrier: 6.0998829; 45.9020843!
Montmorency: 2.3197111; 48.9891693!
Cernay: 7.1767542; 47.8071991!
Rosny-sous-Bois: 2.4856366; 48.8761957!
Blagnac: 1.37799; 43.6434!
Chatillon: 2.2897124; 48.7997756!
Sarreguemines: 7.0695021; 49.1091944!
Givors: 4.7696529; 45.5844238!
Fontenay-le-Fleury: 2.0461549; 48.8106578!
Tourlaville: -1.5667534; 49.6465139!
Plaisance-du-Touch: 1.2978343; 43.5653012!
Lunel: 4.1348062; 43.6745265!
Villers-les-Nancy: 6.1453891; 48.6707448!
Sannois: 2.25226; 48.9735001!
Castelnau-le-Lez: 3.9133311; 43.6393171!
Isbergues: 2.4574631; 50.6211244!
Saint-Brice-sous-Foret: 2.3548273; 49.0030509!
Le Creusot: 4.4297028; 46.808203!
Cosne-Cours-sur-Loire: 2.9273937; 47.4115613!
Longuenesse: 2.24833; 50.7371!
Tassin-la-Demi-Lune: 4.7815787; 45.7635689!
Yvetot: 0.7538866; 49.6179384!
Vitry-sur-Seine: 2.39164; 48.7876!
Neuilly-sur-Seine: 2.2695658; 48.884683!
Tinqueux: 3.98601; 49.2479!
Sallanches: 6.6302551; 45.9361246!
Meudon: 2.2387564; 48.8126229!
Thiers: 3.5489707; 45.855795!
Creutzwald: 6.6893987; 49.19959!
Harnes: 2.9068246; 50.44741!
Lattes: 3.9017114; 43.5653993!
Poitiers: 0.340196; 46.5802596!
Saint-Saulve: 3.5617249; 50.3725268!
Vierzon: 2.0691421; 47.2217489!
Joinville-le-Pont: 2.4668077; 48.8183717!
Frejus: 6.7360182; 43.4330308!
Mayenne: -0.6179871; 48.3044218!
Noisy-le-Grand: 2.5519571; 48.8493972!
Chateaurenard: 4.85568; 43.8820448!
Bressuire: -0.4929017; 46.8425572!
Wasquehal: 3.1312447; 50.6691577!
Saint-Cyr-l'Ecole: 2.0672138; 48.799708!
Audincourt: 6.8413684; 47.4819786!
Saint-Dizier: 4.9475536; 48.6375625!
Gravelines: 2.1455; 50.9955!
Roncq: 3.1209016; 50.7531232!
Oignies: 2.99387; 50.4643!
Aubergenville: 1.8554319; 48.9591392!
Bourg-la-Reine: 2.3160386; 48.7793096!
Wittenheim: 7.3373681; 47.8080799!
Cluses: 6.580419; 46.0603309!
Annemasse: 6.2341093; 46.1934005!
Langres: 5.3317847; 47.8634406!
La Celle-Saint-Cloud: 2.1441863; 48.8478012!
Marmande: 0.164274; 44.5007939!
Dole: 5.4925463; 47.0921047!
Malakoff: 2.2971588; 48.8174048!
Saint-Mande: 2.4172278; 48.8419182!
Soyaux: 0.1929757; 45.6409006!
Le Bourget: 2.4282102; 48.936802!
Ploufragan: -2.794788; 48.4899704!
Vandoeuvre-les-Nancy: 6.1653957; 48.6574993!
Mantes-la-Ville: 1.7109449; 48.9748938!
Fougeres: -1.2022211; 48.3536781!
Massy: 2.27367; 48.7278!
Gap: 6.0820018; 44.5611978!
Dieppe: 1.0791444; 49.9246182!
Montceau-les-Mines: 4.3542; 46.6762!
Mandelieu-la-Napoule: 6.9359135; 43.5439153!
Evreux: 1.1375865; 49.0183639!
Herblay: 2.1481799; 49.0045001!
Douchy-les-Mines: 3.39013; 50.2984!
Carcassonne: 2.3491069; 43.2130358!
Houilles: 2.18709; 48.926!
Le Plessis-Trevise: 2.5745692; 48.8071041!
Sete: 3.6941845; 43.4017377!
Mende: 3.4991057; 44.5180226!
Calais: 1.87468; 50.9488!
Saint-Laurent-du-Var: 7.1906969; 43.6690101!
Reze: -1.5691209; 47.1905787!
Conde-sur-l'Escaut: 3.5899406; 50.451747!
Limay: 1.7368795; 48.9937522!
Woippy: 6.1522049; 49.151928!
Agde: 3.4718381; 43.3126647!
Quimperle: -3.5516222; 47.8690062!
Saint-Jean-de-la-Ruelle: 1.8717431; 47.9098024!
Courbevoie: 2.2563404; 48.8952393!
Livry-Gargan: 2.5298854; 48.917335!
Orange: 4.8078783; 44.1371311!
Beauvais: 2.0866699; 49.4409001!
Vernouillet: 1.3680263; 48.7169279!
Ecully: 4.77342; 45.7824!
Albertville: 6.3903056; 45.6746178!
Meru: 2.1343983; 49.2362758!
Gennevilliers: 2.2940122; 48.9254221!
Bully-les-Mines: 2.71989; 50.4464!
Eragny: 2.1018056; 49.0214986!
Pont-a-Mousson: 6.0522022; 48.9050827!
Thouars: -0.2153741; 46.9790193!
Mouvaux: 3.13689; 50.7029!
Sceaux: 2.2934309; 48.777449!
Mainvilliers: 1.4580047; 48.4489382!
Vesoul: 6.1566367; 47.6236088!
La Courneuve: 2.3896123; 48.9267236!
Epernay: 3.9551593; 49.0436181!
Carrieres-sous-Poissy: 2.0324724; 48.9427668!
Graulhet: 1.99723; 43.7578!
Le Pre-Saint-Gervais: 2.4038877; 48.8829401!
Bagnols-sur-Ceze: 4.6235831; 44.160481!
Morlaix: -3.8331972; 48.5824932!
Montargis: 2.7364119; 47.9990047!
Saint-Gaudens: 0.7247218; 43.1077682!
Suresnes: 2.2252883; 48.8710147!
Autun: 4.2985296; 46.9493444!
Berre-l'Etang: 5.1681405; 43.4740673!
Amberieu-en-Bugey: 5.3595099; 45.9584309!
Le Puy-en-Velay: 3.8855537; 45.0459739!
Oullins: 4.80271; 45.7157!
Rodez: 2.5733006; 44.3510012!
Villenave-d'Ornon: -0.5595029; 44.7737872!
Issoire: 3.2502213; 45.5432973!
Gujan-Mestras: -1.0845304; 44.6338602!
Fameck: 6.1036754; 49.3043797!
Montataire: 2.4342569; 49.2561311!
Villiers-sur-Marne: 2.5406696; 48.8262055!
Rixheim: 7.4092669; 47.7514996!
Venissieux: 4.88079; 45.7036!
Seyssinet-Pariset: 5.6964638; 45.1781539!
Fleury-les-Aubrais: 1.9223668; 47.942907!
Valenciennes: 3.5266657; 50.3594889!
Haubourdin: 2.9864421; 50.6093554!
Montigny-les-Cormeilles: 2.1961199; 48.9948001!
Les Mureaux: 1.9090697; 48.9958047!
L'Hay-les-Roses: 2.3369786; 48.7776577!
Deville-les-Rouen: 1.0500261; 49.4692523!
Ussel: 2.311227; 45.5463792!
Chaville: 2.1883487; 48.8086915!
Bollene: 4.7484092; 44.2803882!
Bruay-la-Buissiere: 2.55377; 50.4919!
Saint-Gratien: 2.2849166; 48.9687035!
Privas: 4.5986733; 44.7352708!
Montfermeil: 2.5660399; 48.8992679!
Saint-Maurice: 2.4420702; 48.8176111!
Saint-Andre-les-Vergers: 4.04578; 48.2761!
Villeneuve-les-Avignon: 4.7974288; 43.9625312!
Lens: 2.8319805; 50.4291723!
Cherbourg: -1.6251338; 49.6369557!
Alfortville: 2.4277061; 48.7928634!
Bellegarde-sur-Valserine: 5.8260591; 46.1076292!
Le Cannet: 7.0048289; 43.5717056!
Varennes-Vauzelles: 3.1437135; 47.0088092!
Goussainville: 2.4733628; 49.0323168!
Tourcoing: 3.1620566; 50.7275415!
Argenteuil: 2.2481797; 48.9479069!
Pertuis: 5.5032671; 43.6951468!
Loos: 3.0162523; 50.6092082!
Saint-Amand-Montrond: 2.5046503; 46.7227062!
Bouguenais: -1.6233691; 47.179301!
Saint-Priest: 4.9441635; 45.6965347!
Sartrouville: 2.17761; 48.9384!
La Seyne-sur-Mer: 5.8788948; 43.1007714!
Bourg-les-Valence: 4.8953847; 44.9528222!
Yzeure: 3.3530594; 46.5675779!
Gif-sur-Yvette: 2.134529; 48.7018823!
Le Grand-Quevilly: 1.0507926; 49.4068986!
Cormeilles-en-Parisis: 2.2003797; 48.9708972!
Chalon-sur-Saone: 4.8529507; 46.7889172!
Sainte-Genevieve-des-Bois: 2.3283953; 48.6424322!
Parthenay: -0.2472687; 46.6481266!
Fontainebleau: 2.7015872; 48.4049375!
Apt: 5.3970648; 43.8757936!
Nogent-sur-Marne: 2.4810318; 48.8353038!
Saint-Avold: 6.7071754; 49.1043397!
Thiais: 2.3910024; 48.764359!
Saint-Medard-en-Jalles: -0.7157771; 44.8967676!
Fontenay-sous-Bois: 2.47251; 48.8508!
Arras: 2.7658931; 50.2901986!
Mont-de-Marsan: -0.500972; 43.8911318!
Pessac: -0.6302789; 44.8055629!
Champigny-sur-Marne: 2.5146966; 48.8183035!
Sallaumines: 2.86457; 50.4199!
Nevers: 3.1599641; 46.9939033!
Issy-les-Moulineaux: 2.2734713; 48.8244968!
Creteil: 2.4557829; 48.7815067!
Boissy-Saint-Leger: 2.5121047; 48.7498882!
Laval: -0.7723499; 48.0710377!
Longjumeau: 2.2958872; 48.6942158!
Mitry-Mory: 2.6183971; 48.9839674!
Villerupt: 5.9301466; 49.4709744!
Romans-sur-Isere: 5.0522438; 45.0453463!
Selestat: 7.454217; 48.2594396!
Hennebont: -3.2650587; 47.8052482!
Charenton-le-Pont: 2.40707; 48.8219!
Courrieres: 2.94621; 50.4521!
Rueil-Malmaison: 2.1808837; 48.8693888!
Saran: 1.8764209; 47.9494039!
Le Bouscat: -0.5992399; 44.8661755!
Auchel: 2.46753; 50.5109!
Bischwiller: 7.8612059; 48.7663318!
Coulommiers: 3.09228; 48.8094!
Fresnes: 2.3258651; 48.754407!
Saint-Cloud: 2.2045308; 48.8426!
Noisy-le-Sec: 2.45468; 48.8905772!
La Teste-de-Buch: -1.1753424; 44.6227148!
Maurepas: 1.945148; 48.7618735!
Trelaze: -0.4652452; 47.4460674!
Plaisir: 1.9476363; 48.817399!
Vallauris: 7.05859; 43.5761001!
Halluin: 3.1248979; 50.774703!
Cesson-Sevigne: -1.5955935; 48.1223672!
Chatenay-Malabry: 2.2781646; 48.7661105!
Bobigny: 2.4423279; 48.90842!
Lambersart: 3.0223644; 50.6477924!
La Chapelle-Saint-Luc: 4.0413095; 48.3185478!
Saint-Die-des-Vosges: 6.951128; 48.2844762!
Domont: 2.3246147; 49.0265377!
Soisy-sous-Montmorency: 2.3034889; 48.990412!
Macon: 4.8325066; 46.3034503!
Bretigny-sur-Orge: 2.3051753; 48.6079758!
Roquebrune-sur-Argens: 6.6366368; 43.4431035!
Wattignies: 3.0399807; 50.5861341!
Gaillac: 1.8967943; 43.9016766!
Cavaillon: 5.0393165; 43.8322775!
Cholet: -0.8801349; 47.0617293!
Angouleme: 0.1568658; 45.6496755!
Fourmies: 4.0559; 50.006!
Courmes: 7.0088689; 43.7424471!
Marly-le-Roi: 2.093387; 48.8670484!
Riedisheim: 7.3646258; 47.7408594!
Mantes-la-Jolie: 1.7140683; 48.9891971!
La Madeleine: 3.0678164; 50.6565418!
Oissel: 1.06938; 49.3457!
Saint-Sebastien-sur-Loire: -1.4992075; 47.2035029!
Muret: 1.3262332; 43.4599858!
Concarneau: -3.9223889; 47.8757017!
Sevran: 2.5289296; 48.9372068!
Melun: 2.6591996; 48.5353807!
Montelimar: 4.750318; 44.5579391!
Ris-Orangis: 2.41044; 48.6442!
Vaureal: 2.0205773; 49.0300763!
Barentin: 0.9502671; 49.5468336!
Raismes: 3.4834; 50.4058!
Hoenheim: 7.7552862; 48.6250489!
Elancourt: 1.949352; 48.7681182!
Belfort: 6.8628959; 47.6379311!
Lievin: 2.7738; 50.4245!
Villefranche-sur-Saone: 4.726611; 45.9864749!
Draguignan: 6.4655798; 43.5398458!
Saint-Jean-de-Braye: 1.9737186; 47.9200018!
Garges-les-Gonesse: 2.399024; 48.9703841!
Beausoleil: 7.4219677; 43.748281!
Lagny-sur-Marne: 2.7121663; 48.8735584!
Saint-Just-Saint-Rambert: 4.2440138; 45.5005319!
Cambrai: 3.2356613; 50.1759602!
Illzach: 7.3486211; 47.7830669!
Provins: 3.2973927; 48.561258!
Evry: 2.438; 48.6311001!
Caluire-et-Cuire: 4.8423688; 45.7969996!
Schiltigheim: 7.7500608; 48.6076873!
Vigneux-sur-Seine: 2.4302405; 48.7034214!
Albi: 2.147899; 43.9277552!
Grasse: 6.9239103; 43.6589011!
Chateauneuf-les-Martigues: 5.1645308; 43.3805116!
Vernon: 1.4886571; 49.0917814!
Le Pont-de-Claix: 5.6978136; 45.1236837!
Ermont: 2.2587986; 48.9891381!
Cachan: 2.3340758; 48.7945413!
La Crau: 6.0934922; 43.1661259!
Carmaux: 2.152102; 44.0500469!
Sucy-en-Brie: 2.5221284; 48.7711323!
Bagnolet: 2.4173658; 48.8688199!
Nemours: 2.6953079; 48.268026!
Vertou: -1.4721598; 47.1684409!
Bezons: 2.2105491; 48.9250016!
Rive-de-Gier: 4.6086117; 45.5205959!
Thonon-les-Bains: 6.4779448; 46.3731303!
Pont-Sainte-Maxence: 2.6045838; 49.3012483!
Saint-Martin-Boulogne: 1.6467738; 50.7229048!
Tarare: 4.4371374; 45.8942555!
Amboise: 0.983698; 47.4110351!
Villeneuve-d'Ascq: 3.1469875; 50.6294204!
Outreau: 1.5845684; 50.7036916!
Rochefort: -0.969019; 45.9442!
Bruay-sur-l'Escaut: 3.542827; 50.3973009!
Guipavas: -4.4018204; 48.4350225!
Fecamp: 0.374891; 49.7577729!
Dunkerque: 2.3772525; 51.0347708!
L'Isle-Adam: 2.2177513; 49.1123327!
Carrieres-sur-Seine: 2.1779083; 48.9134112!
Saint-Fons: 4.84935; 45.7001!
Aurillac: 2.4433101; 44.9285441!
Colomiers: 1.3286499; 43.6121001!
Le Raincy: 2.5155626; 48.8986666!
Morsang-sur-Orge: 2.3527728; 48.6641415!
Orvault: -1.623206; 47.2711217!
Forbach: 6.8957413; 49.1861533!
Saint-Max: 6.2066116; 48.7051979!
Mons-en-Baroeul: 3.1093516; 50.6428547!
Vendome: 1.0661684; 47.7955178!
Avion: 2.82454; 50.4049!
Montigny-les-Metz: 6.153041; 49.0999832!
Les Clayes-sous-Bois: 1.9934185; 48.8199643!
Bernay: 0.5989838; 49.0901294!
Valence: 4.8920811; 44.9332277!
Le Perreux-sur-Marne: 2.5080558; 48.8406703!
Pontivy: -2.9594341; 48.0642849!
