Pre-la-Joux: 6.7881017; 46.2332683!
Montmagny: 2.343561; 48.9728571!
Noeux-les-Mines: 2.6621899; 50.4754!
Saint-Andre-lez-Lille: 3.04468; 50.6608!
Blanquefort: -0.609082; 44.9238!
Le Mee-sur-Seine: 2.6382182; 48.5403535!
Dax: -1.0533076; 43.7080596!
Echirolles: 5.71927; 45.1437!
Villepinte: 2.5347541; 48.9636566!
Hendaye: -1.7616499; 43.3641518!
Sable-sur-Sarthe: -0.3352048; 47.8400712!
Tournefeuille: 1.3464462; 43.5834786!
Le Chesnay: 2.1319603; 48.8278506!
Pierrelatte: 4.6976609; 44.3778474!
Armentieres: 2.88251; 50.6911!
Coudekerque-Branche: 2.3971139; 51.0175575!
Chatou: 2.15122; 48.8987!
Joue-les-Tours: 0.656224; 47.336!
Gentilly: 2.34371; 48.8127!
Creil: 2.4737043; 49.2635045!
Yutz: 6.1886959; 49.3592369!
Vitry-le-Francois: 4.5851622; 48.7262225!
Luneville: 6.5013779; 48.5894638!
Millau: 3.0777594; 44.1006693!
Torcy: 2.65265; 48.8515!
Bethune: 2.64781; 50.5199!
Palaiseau: 2.2468567; 48.7170283!
Antony: 2.2959423; 48.753554!
Neuilly-Plaisance: 2.5089943; 48.8611165!
Chalette-sur-Loing: 2.73636; 48.0165!
Neuilly-sur-Marne: 2.53921; 48.8642!
Equeurdreville-Hainneville: -1.667904; 49.6507053!
Croix: 3.1521074; 50.6783122!
Mazamet: 2.3764363; 43.4902317!
Viroflay: 2.17056; 48.8013!
Aubervilliers: 2.3821895; 48.9146078!
Thionville: 6.1529769; 49.3591614!
Valentigney: 6.8264717; 47.4628054!
Roquebrune-Cap-Martin: 7.4565697; 43.7641047!
Frontignan: 3.7530636; 43.4487615!
Lanester: -3.3444489; 47.7639726!
Vieux-Conde: 3.56503; 50.4714!
Marcq-en-Baroeul: 3.1043032; 50.6767018!
Sarrebourg: 7.0533301; 48.7356751!
Bourg-en-Bresse: 5.2258647; 46.2055235!
Saint-Egreve: 5.6811465; 45.2329547!
Andresy: 2.0529587; 48.9788963!
Bourgoin-Jallieu: 5.2828123; 45.5872259!
Athis-Mons: 2.3890941; 48.7079028!
Franconville: 2.2247099; 48.9890001!
Garches: 2.1853699; 48.8437486!
Stains: 2.3825154; 48.9565669!
Wittelsheim: 7.24682; 47.8!
Saint-Cyr-sur-Loire: 0.6658199; 47.4052448!
La Valette-du-Var: 5.9834654; 43.1378245!
Noisiel: 2.61732; 48.8473!
Clichy: 2.30551; 48.9026!
Six-Fours-les-Plages: 5.8393953; 43.0935105!
Annecy-le-Vieux: 6.1421557; 45.9192627!
Fos-sur-Mer: 4.945595; 43.4380714!
Maromme: 1.0308208; 49.476737!
Cognac: -0.3251948; 45.6932909!
La Garde: 6.0128532; 43.1249185!
Cergy: 2.0388736; 49.0527528!
Roubaix: 3.1741734; 50.6915893!
Octeville: -1.6505096; 49.6207352!
Saint-Pierre-des-Corps: 0.718669; 47.3904414!
Ploemeur: -3.4270534; 47.7354591!
Le Blanc-Mesnil: 2.45686; 48.9403!
Dinan: -2.047687; 48.4539775!
Rillieux-la-Pape: 4.8994366; 45.823514!
Maubeuge: 3.9743784; 50.2785567!
Abbeville: 1.8343303; 50.1059372!
Beaucaire: 4.6392648; 43.8085436!
Saint-Malo: -2.015418; 48.6454528!
Chelles: 2.5942129; 48.8797422!
La Ciotat: 5.6232056; 43.1947945!
Canteleu: 1.0352069; 49.4507987!
Hyeres: 6.1301614; 43.1202573!
Tarbes: 0.0685929; 43.2349001!
Cahors: 1.4364999; 44.4495!
Septemes-les-Vallons: 5.3663965; 43.3989529!
Acheres: 2.0701647; 48.9602658!
Verrieres-le-Buisson: 2.2668991; 48.7463063!
Le Plessis-Robinson: 2.2619632; 48.7811049!
Velizy-Villacoublay: 2.1906082; 48.7826191!
Etaples: 1.638851; 50.5138973!
Villefontaine: 5.1580574; 45.614003!
Conflans-Sainte-Honorine: 2.1017799; 49.0003001!
Lognes: 2.63387; 48.8323!
Sorgues: 4.8725016; 44.0066403!
Manosque: 5.7836332; 43.8333864!
Bailleul: 2.7349286; 50.7396668!
Mennecy: 2.4379002; 48.5586201!
Montbrison: 4.0653067; 45.6070698!
Courcouronnes: 2.41381; 48.621!
Chateauroux: 1.6957099; 46.8047!
Saint-Leu-la-Foret: 2.2480799; 49.0212001!
Saint-Etienne-du-Rouvray: 1.09163; 49.3831!
Roanne: 4.0738682; 46.0363902!
Savigny-sur-Orge: 2.3482788; 48.6842593!
Moulins: 3.333179; 46.566142!
Avrille: -0.5956539; 47.5045657!
Le Vesinet: 2.12974; 48.8944!
Maisons-Alfort: 2.4305233; 48.8010363!
Grande-Synthe: 2.29351; 51.0182!
Orsay: 2.1874811; 48.6991805!
Le Portel: 1.5765268; 50.7079679!
Bry-sur-Marne: 2.5216259; 48.8394047!
Carquefou: -1.4921233; 47.2971979!
Quimper: -4.1024782; 47.9960325!
Enghien-les-Bains: 2.3068482; 48.9699732!
Aulnay-sous-Bois: 2.5058071; 48.9396485!
Nanterre: 2.2071267; 48.8924273!
Vichy: 3.4203712; 46.1239268!
Guyancourt: 2.07549; 48.7729!
Albert: 2.6481281; 50.0050961!
Freyming-Merlebach: 6.8031117; 49.1479451!
Mont-Saint-Aignan: 1.0813; 49.4679!
Epinay-sur-Seine: 2.3145039; 48.9525181!
Verdun: 5.3867277; 49.1589278!
Les Ulis: 2.1690093; 48.6805587!
Ozoir-la-Ferriere: 2.676; 48.7638!
Comines: 3.0147; 50.749!
Gueret: 1.8713349; 46.1686865!
Berck: 1.570879; 50.4050674!
Longwy: 5.7681606; 49.5169254!
Brie-Comte-Robert: 2.6166737; 48.6904522!
Rombas: 6.0949742; 49.2502303!
Villiers-le-Bel: 2.3983967; 49.0075433!
Pontault-Combault: 2.61431; 48.7884!
Carvin: 2.9577519; 50.4934145!
Chevilly-Larue: 2.3624818; 48.768192!
Cugnaux: 1.3457537; 43.5369936!
Talant: 5.0047641; 47.3359617!
Ambares-et-Lagrave: -0.4980333; 44.9445006!
Les Lilas: 2.415796; 48.8795658!
Morangis: 2.3367599; 48.7022956!
Draveil: 2.4212; 48.6787!
Kingersheim: 7.3386856; 47.7923002!
Faches-Thumesnil: 3.07133; 50.5936!
Deuil-la-Barre: 2.32738; 48.9721!
Sanary-sur-Mer: 5.8022906; 43.1180387!
Jarville-la-Malgrange: 6.2057744; 48.6680055!
Castres: 2.2417954; 43.6036776!
Port-de-Bouc: 4.9806998; 43.403098!
Auxerre: 3.58452; 47.7954001!
Tremblay-en-France: 2.5589558; 48.9802035!
Ales: 4.0852818; 44.1253665!
Limeil-Brevannes: 2.4867977; 48.7464991!
Villemomble: 2.5105095; 48.8847875!
Saintes: -0.6299329; 45.7420801!
Montesson: 2.1502476; 48.9117502!
Hautmont: 3.9200611; 50.2513704!
Les Pavillons-sous-Bois: 2.5034999; 48.9082988!
Villeneuve-le-Roi: 2.4179723; 48.7349054!
Montigny-le-Bretonneux: 2.0249424; 48.7759215!
Seynod: 6.0992785; 45.8880398!
Vaires-sur-Marne: 2.6333854; 48.8707017!
Ostwald: 7.7102193; 48.5425109!
Rognac: 5.2342903; 43.4872341!
Bron: 4.9092352; 45.7337532!
Persan: 2.2675077; 49.1485881!
Argentan: -0.0223695; 48.7428859!
La Rochelle: -1.1520434; 46.1591126!
Bouc-Bel-Air: 5.4126511; 43.4511274!
Lorient: -3.37958; 47.7504!
Decines-Charpieu: 4.9633314; 45.773606!
Vaulx-en-Velin: 4.9206153; 45.7784255!
Arles: 4.6309653; 43.6776223!
Sainte-Foy-les-Lyon: 4.7934767; 45.7362255!
Miramas: 5.0025809; 43.582733!
Rumilly: 5.9447721; 45.8672278!
Bois-Colombes: 2.2674892; 48.9148269!
La Garenne-Colombes: 2.2465748; 48.9069349!
Hem: 3.1839429; 50.6540895!
Fontaine: 5.6759709; 45.193603!
Cran-Gevrier: 6.0998829; 45.9020843!
Montmorency: 2.3197111; 48.9891693!
Cernay: 7.1767542; 47.8071991!
Rosny-sous-Bois: 2.4856366; 48.8761957!
Blagnac: 1.37799; 43.6434!
Chatillon: 2.2897124; 48.7997756!
Sarreguemines: 7.0695021; 49.1091944!
Givors: 4.7696529; 45.5844238!
Fontenay-le-Fleury: 2.0461549; 48.8106578!
Tourlaville: -1.5667534; 49.6465139!
Plaisance-du-Touch: 1.2978343; 43.5653012!
Lunel: 4.1348062; 43.6745265!
Villers-les-Nancy: 6.1453891; 48.6707448!
Sannois: 2.25226; 48.9735001!
Castelnau-le-Lez: 3.9133311; 43.6393171!
Isbergues: 2.4574631; 50.6211244!
Saint-Brice-sous-Foret: 2.3548273; 49.0030509!
Le Creusot: 4.4297028; 46.808203!
